PropertiesSK,PropertyReference,PostCode,PropertyType,PropertySubType,PatchCode,PatchName,AppointmentPatchCode,AppointmentPatchName,AppointmentRegionName,UPRN
5001,T000001,B25,LCRA,Bungalow,CSP1,Central South 1,CSP1,Central South 1,Central South,10042868828
5002,T000002,B35,LCRA,House,CSP1,Central South 1,CSP1,Central South 1,Central South,10083197857
5003,T000003,B24,LCRA,House,CSP1,Central South 1,CSP1,Central South 1,Central South,10013999315
5004,T000004,B24,LCRA,House,CSP1,Central South 1,CSP1,Central South 1,Central South,10085329037
5005,T000005,B34,LCRA,Maisonette,CSP1,Central South 1,CSP1,Central South 1,Central South,10039587039
5006,T000006,B73,LCRA,House,CSP1,Central South 1,CSP1,Central South 1,Central South,10031429110
5007,T000007,B72,LCRA,Flat,CSP1,Central South 1,CSP1,Central South 1,Central South,10038898923
5008,T000008,B42,LCRA,Maisonette,CSP1,Central South 1,CSP1,Central South 1,Central South,10022981052
5009,T000009,B43,LCRA,Bungalow,CSP1,Central South 1,CSP1,Central South 1,Central South,10015831819
5010,T000010,B73,LCRA,Maisonette,CSP1,Central South 1,CSP1,Central South 1,Central South,10020576383
5011,T000011,B76,LCRA,Bungalow,CSP1,Central South 1,CSP1,Central South 1,Central South,10087490893
5012,T000012,B34,LCRA,House,CSP1,Central South 1,CSP1,Central South 1,Central South,10098753260
5013,T000013,B35,LCRA,House,CSP1,Central South 1,CSP1,Central South 1,Central South,10041244663
5014,T000014,B25,LCRA,Maisonette,CSP1,Central South 1,CSP1,Central South 1,Central South,10095320121
5015,T000015,B43,LCRA,Bungalow,CSP1,Central South 1,CSP1,Central South 1,Central South,10038119557
5016,T000016,B36,LCRA,House,CSP1,Central South 1,CSP1,Central South 1,Central South,10091756179
5017,T000017,B33,LCRA,Flat,CSP1,Central South 1,CSP1,Central South 1,Central South,10031931511
5018,T000018,B73,LCRA,Flat,CSP1,Central South 1,CSP1,Central South 1,Central South,10053524491
5019,T000019,B23,LCRA,House,CSP1,Central South 1,CSP1,Central South 1,Central South,10052339391
5020,T000020,B44,LCRA,Flat,CSP1,Central South 1,CSP1,Central South 1,Central South,10086125617
5021,T000021,B42,LCRA,Maisonette,CSP1,Central South 1,CSP1,Central South 1,Central South,10063100814
5022,T000022,B73,LCRA,Flat,CSP1,Central South 1,CSP1,Central South 1,Central South,10043101783
5023,T000023,B76,LCRA,Maisonette,CSP1,Central South 1,CSP1,Central South 1,Central South,10088320463
5024,T000024,B44,LCRA,Flat,CSP1,Central South 1,CSP1,Central South 1,Central South,10078387461
5025,T000025,B74,LCRA,House,CSP1,Central South 1,CSP1,Central South 1,Central South,10024716857
5026,T000026,B26,LCRA,Maisonette,CSP1,Central South 1,CSP1,Central South 1,Central South,10090048665
5027,T000027,B24,LCRA,Maisonette,CSP1,Central South 1,CSP1,Central South 1,Central South,10081016525
5028,T000028,B36,LCHO,House,CSP1,Central South 1,CSP1,Central South 1,Central South,10025374874
5029,T000029,B76,LCRA,Bungalow,CSP1,Central South 1,CSP1,Central South 1,Central South,10024972279
5030,T000030,B37,LCRA,Maisonette,CSP1,Central South 1,CSP1,Central South 1,Central South,10010435578
5031,T000031,B36,LCHO,Flat,CSP1,Central South 1,CSP1,Central South 1,Central South,10078139880
5032,T000032,B25,LCRA,Bungalow,CSP1,Central South 1,CSP1,Central South 1,Central South,10095758349
5033,T000033,B75,LCRA,Flat,CSP1,Central South 1,CSP1,Central South 1,Central South,10060185867
5034,T000034,B33,LCRA,House,CSP1,Central South 1,CSP1,Central South 1,Central South,10090388981
5035,T000035,B42,LCRA,House,CSP1,Central South 1,CSP1,Central South 1,Central South,10058718453
5036,T000036,B37,LCRA,Flat,CSP1,Central South 1,CSP1,Central South 1,Central South,10086149359
