Date,DayName,IsWeekday,IsHoliday,IsBankHoliday,FinancialYear,FinancialQuarter,FinancialMonth
2026-03-13,Friday,Y,N,N,FY2025-26,Q4,March
2026-03-16,Monday,Y,N,N,FY2025-26,Q4,March
2026-03-17,Tuesday,Y,N,N,FY2025-26,Q4,March
2026-03-18,Wednesday,Y,N,N,FY2025-26,Q4,March
2026-03-19,Thursday,Y,N,N,FY2025-26,Q4,March
2026-03-20,Friday,Y,N,N,FY2025-26,Q4,March
2026-03-23,Monday,Y,N,N,FY2025-26,Q4,March
2026-03-24,Tuesday,Y,N,N,FY2025-26,Q4,March
2026-03-25,Wednesday,Y,N,N,FY2025-26,Q4,March
2026-03-26,Thursday,Y,N,N,FY2025-26,Q4,March
2026-03-27,Friday,Y,N,N,FY2025-26,Q4,March
2026-03-30,Monday,Y,N,N,FY2025-26,Q4,March
2026-03-31,Tuesday,Y,N,N,FY2025-26,Q4,March
2026-04-01,Wednesday,Y,N,N,FY2026-27,Q1,April
2026-04-02,Thursday,Y,N,N,FY2026-27,Q1,April
2026-04-03,Friday,Y,N,N,FY2026-27,Q1,April
2026-04-06,Monday,Y,N,N,FY2026-27,Q1,April
2026-04-07,Tuesday,Y,N,N,FY2026-27,Q1,April
2026-04-08,Wednesday,Y,N,N,FY2026-27,Q1,April
2026-04-09,Thursday,Y,N,N,FY2026-27,Q1,April
2026-04-10,Friday,Y,N,N,FY2026-27,Q1,April
2026-04-13,Monday,Y,N,N,FY2026-27,Q1,April
2026-04-14,Tuesday,Y,N,N,FY2026-27,Q1,April
2026-04-15,Wednesday,Y,N,N,FY2026-27,Q1,April
2026-04-16,Thursday,Y,N,N,FY2026-27,Q1,April
2026-04-17,Friday,Y,N,N,FY2026-27,Q1,April
2026-04-20,Monday,Y,N,N,FY2026-27,Q1,April
2026-04-21,Tuesday,Y,N,N,FY2026-27,Q1,April
2026-04-22,Wednesday,Y,N,N,FY2026-27,Q1,April
2026-04-23,Thursday,Y,N,N,FY2026-27,Q1,April
2026-04-24,Friday,Y,N,N,FY2026-27,Q1,April
2026-04-27,Monday,Y,N,N,FY2026-27,Q1,April
2026-04-28,Tuesday,Y,N,N,FY2026-27,Q1,April
2026-04-29,Wednesday,Y,N,N,FY2026-27,Q1,April
2026-04-30,Thursday,Y,N,N,FY2026-27,Q1,April
