EmployeesSK,EmployeeId,FullName,Trade,Role,PatchCode,PatchName,RegionName,SupervisorEmployeeId
1001,OP_CSP1_01,Operative 1-01,Plumber,Trade Operative,CSP1,Central South 1,Central South,SUP_CSP1
1002,OP_CSP1_02,Operative 1-02,Electrician,Trade Operative,CSP1,Central South 1,Central South,SUP_CSP1
1003,OP_CSP1_03,Operative 1-03,Carpenter,Trade Operative,CSP1,Central South 1,Central South,SUP_CSP1
1004,OP_CSP1_04,Operative 1-04,Multi-Trade,Trade Operative,CSP1,Central South 1,Central South,SUP_CSP1
1005,SUP_CSP1,Patch Supervisor 1,Supervisor,Patch Supervisor,CSP1,Central South 1,Central South,
1006,OP_CSP2_01,Operative 2-01,Plumber,Trade Operative,CSP2,Central South 2,Central South,SUP_CSP2
1007,OP_CSP2_02,Operative 2-02,Electrician,Trade Operative,CSP2,Central South 2,Central South,SUP_CSP2
1008,OP_CSP2_03,Operative 2-03,Carpenter,Trade Operative,CSP2,Central South 2,Central South,SUP_CSP2
1009,OP_CSP2_04,Operative 2-04,Multi-Trade,Trade Operative,CSP2,Central South 2,Central South,SUP_CSP2
1010,SUP_CSP2,Patch Supervisor 2,Supervisor,Patch Supervisor,CSP2,Central South 2,Central South,
1011,OP_CSP4_01,Operative 4-01,Plumber,Trade Operative,CSP4,Central South 4,Central South,SUP_CSP4
1012,OP_CSP4_02,Operative 4-02,Electrician,Trade Operative,CSP4,Central South 4,Central South,SUP_CSP4
1013,OP_CSP4_03,Operative 4-03,Carpenter,Trade Operative,CSP4,Central South 4,Central South,SUP_CSP4
1014,OP_CSP4_04,Operative 4-04,Multi-Trade,Trade Operative,CSP4,Central South 4,Central South,SUP_CSP4
1015,SUP_CSP4,Patch Supervisor 2,Supervisor,Patch Supervisor,CSP4,Central South 4,Central South,
1016,MGR_CS,Regional Operations Manager,Manager,Regional Operations Manager,,,Central South,
1017,HEAD_REPAIRS,Head of Repairs,Manager,Head of Repairs,,,,
