AppointmentReference,WorksOrderReference,PropertiesSK,EmployeesSK,PatchCode,AppointmentSlot,ScheduledAppointmentStart,ScheduledAppointmentEnd,AttendanceStartDateTime,AppointmentAttendedWithinSlot,AppointmentStatus,AppointmentSequence,StandardMinuteValue
AP9000001,WO700001,5019,1004,CSP1,All Day,2026-03-20T08:00:00,2026-03-20T16:00:00,2026-03-20T07:58:00,N,Completed,1,133
AP9000002,WO700002,5068,1001,CSP1,All Day,2026-03-20T08:00:00,2026-03-20T16:00:00,2026-03-20T08:00:00,Y,Completed,1,58
AP9000003,WO700003,5099,1003,CSP1,PM,2026-03-20T12:00:00,2026-03-20T16:00:00,2026-03-20T11:57:00,N,Completed,1,96
AP9000004,WO700004,5052,1001,CSP1,AM,2026-03-20T08:00:00,2026-03-20T12:00:00,2026-03-20T08:19:00,Y,Completed,1,76
AP9000005,WO700005,5061,1004,CSP1,AM,2026-03-20T08:00:00,2026-03-20T12:00:00,2026-03-20T07:51:00,N,Completed,1,89
AP9000006,WO700006,5072,1002,CSP1,PM,2026-03-20T12:00:00,2026-03-20T16:00:00,2026-03-20T12:15:00,Y,Completed,1,119
AP9000007,WO700007,5097,1003,CSP1,AM,2026-03-20T08:00:00,2026-03-20T12:00:00,2026-03-20T08:02:00,Y,Completed,1,67
AP9000008,WO700008,5028,1003,CSP1,PM,2026-03-20T12:00:00,2026-03-20T16:00:00,2026-03-20T11:56:00,N,Completed,1,95
AP9000009,WO700010,5085,1002,CSP1,PM,2026-03-20T12:00:00,2026-03-20T16:00:00,2026-03-20T12:09:00,Y,Completed,1,109
AP9000010,WO700011,5019,1001,CSP1,AM,2026-03-20T08:00:00,2026-03-20T12:00:00,2026-03-20T08:15:00,Y,Completed,1,44
AP9000011,WO700012,5059,1003,CSP1,AM,2026-03-20T08:00:00,2026-03-20T12:00:00,2026-03-20T07:50:00,N,Completed,1,94
AP9000012,WO700013,5007,1001,CSP1,PM,2026-03-20T12:00:00,2026-03-20T16:00:00,2026-03-20T12:20:00,Y,No Access,1,70
AP9000013,WO700013,5007,1001,CSP1,AM,2026-03-23T08:00:00,2026-03-23T12:00:00,2026-03-23T07:51:00,N,Completed,2,77
AP9000014,WO700014,5078,1001,CSP1,All Day,2026-03-20T08:00:00,2026-03-20T16:00:00,2026-03-20T08:08:00,Y,Completed,1,59
AP9000015,WO700016,5039,1001,CSP1,All Day,2026-03-20T08:00:00,2026-03-20T16:00:00,2026-03-20T08:13:00,Y,Completed,1,96
AP9000016,WO700017,5023,1003,CSP1,AM,2026-03-20T08:00:00,2026-03-20T12:00:00,2026-03-20T07:57:00,N,Completed,1,38
AP9000017,WO700018,5051,1003,CSP1,PM,2026-03-20T12:00:00,2026-03-20T16:00:00,2026-03-20T11:55:00,N,No Access,1,120
AP9000018,WO700018,5051,1003,CSP1,All Day,2026-03-23T08:00:00,2026-03-23T16:00:00,2026-03-23T08:15:00,Y,Completed,2,37
AP9000019,WO700019,5091,1004,CSP1,PM,2026-03-20T12:00:00,2026-03-20T16:00:00,2026-03-20T11:51:00,N,Completed,1,96
AP9000020,WO700019,5091,1004,CSP1,PM,2026-03-23T12:00:00,2026-03-23T16:00:00,2026-03-23T12:15:00,Y,Completed,2,50
AP9000021,WO700020,5089,1004,CSP1,PM,2026-03-20T12:00:00,2026-03-20T16:00:00,2026-03-20T11:59:00,N,Completed,1,83
AP9000022,WO700021,5040,1003,CSP1,All Day,2026-03-20T08:00:00,2026-03-20T16:00:00,2026-03-20T08:18:00,Y,Completed,1,64
AP9000023,WO700022,5100,1003,CSP1,All Day,2026-03-20T08:00:00,2026-03-20T16:00:00,2026-03-20T08:08:00,Y,Completed,1,54
AP9000024,WO700023,5126,1008,CSP2,AM,2026-03-20T08:00:00,2026-03-20T12:00:00,2026-03-20T08:06:00,Y,No Access,1,86
AP9000025,WO700023,5126,1008,CSP2,AM,2026-03-23T08:00:00,2026-03-23T12:00:00,2026-03-23T07:59:00,N,Completed,2,128
AP9000026,WO700024,5160,1009,CSP2,PM,2026-03-20T12:00:00,2026-03-20T16:00:00,2026-03-20T11:50:00,N,Completed,1,60
AP9000027,WO700024,5160,1009,CSP2,AM,2026-03-23T08:00:00,2026-03-23T12:00:00,2026-03-23T08:18:00,Y,Completed,2,89
AP9000028,WO700025,5181,1007,CSP2,All Day,2026-03-20T08:00:00,2026-03-20T16:00:00,2026-03-20T08:10:00,Y,Completed,1,78
AP9000029,WO700026,5146,1006,CSP2,AM,2026-03-20T08:00:00,2026-03-20T12:00:00,2026-03-20T07:54:00,N,No Access,1,45
AP9000030,WO700026,5146,1006,CSP2,AM,2026-03-23T08:00:00,2026-03-23T12:00:00,2026-03-23T08:15:00,Y,Completed,2,38
