JobTicketReference,JobTicketLineReference,WorksOrderReference,AppointmentReference,PropertiesSK,EmployeesSK,PatchCode,JobSORCode,NoAccess,FollowOn,FollowOnDescription,FirstTimeFix,SecondTimeFix,AccessedVisitNumber,ActualStartDate,ActualEndDate,ActualDurationMins,JobInvoicedCost,VisitOutcome
JT11000001,JT11000001-1,WO700001,AP9000001,5019,1004,CSP1,PCCARP,N,N,,Y,N,1,2026-03-20T07:58:00,2026-03-20T10:11:00,133,171.40,Completed
JT11000002,JT11000002-1,WO700002,AP9000002,5068,1001,CSP1,PCBRICK,N,N,,Y,N,1,2026-03-20T08:00:00,2026-03-20T08:58:00,58,292.64,Completed
JT11000003,JT11000003-1,WO700003,AP9000003,5099,1003,CSP1,PCGROUND,N,N,,Y,N,1,2026-03-20T11:57:00,2026-03-20T13:33:00,96,360.68,Completed
JT11000004,JT11000004-1,WO700004,AP9000004,5052,1001,CSP1,PCVINYL,N,N,,Y,N,1,2026-03-20T08:19:00,2026-03-20T09:35:00,76,186.98,Completed
JT11000005,JT11000005-1,WO700005,AP9000005,5061,1004,CSP1,PCCARP,N,N,,Y,N,1,2026-03-20T07:51:00,2026-03-20T09:20:00,89,210.27,Completed
JT11000006,JT11000006-1,WO700006,AP9000006,5072,1002,CSP1,PCPLUMB,N,N,,Y,N,1,2026-03-20T12:15:00,2026-03-20T14:14:00,119,201.06,Completed
JT11000007,JT11000007-1,WO700007,AP9000007,5097,1003,CSP1,PCVINYL,N,N,,Y,N,1,2026-03-20T08:02:00,2026-03-20T09:09:00,67,198.25,Completed
JT11000008,JT11000008-1,WO700008,AP9000008,5028,1003,CSP1,PCPLAST,N,N,,Y,N,1,2026-03-20T11:56:00,2026-03-20T13:31:00,95,237.11,Completed
JT11000009,JT11000009-1,WO700010,AP9000009,5085,1002,CSP1,PCBRICK,N,N,,Y,N,1,2026-03-20T12:09:00,2026-03-20T13:58:00,109,294.65,Completed
JT11000010,JT11000010-1,WO700011,AP9000010,5019,1001,CSP1,PCVINYL,N,N,,Y,N,1,2026-03-20T08:15:00,2026-03-20T08:59:00,44,246.54,Completed
JT11000011,JT11000011-1,WO700012,AP9000011,5059,1003,CSP1,PCFENCE,N,N,,Y,N,1,2026-03-20T07:50:00,2026-03-20T09:24:00,94,215.66,Completed
JT11000012,JT11000012-1,WO700013,AP9000012,5007,1001,CSP1,PCPLAST,Y,N,,N,N,1,2026-03-20T12:20:00,2026-03-20T13:30:00,70,109.55,No Access
JT11000013,JT11000013-1,WO700013,AP9000013,5007,1001,CSP1,PCPLAST,N,N,,Y,Y,2,2026-03-23T07:51:00,2026-03-23T09:08:00,77,109.55,Completed
JT11000014,JT11000014-1,WO700014,AP9000014,5078,1001,CSP1,PCELEC,N,N,,Y,N,1,2026-03-20T08:08:00,2026-03-20T09:07:00,59,292.53,Completed
JT11000015,JT11000015-1,WO700016,AP9000015,5039,1001,CSP1,PCTILE,N,N,,Y,N,1,2026-03-20T08:13:00,2026-03-20T09:49:00,96,163.16,Completed
JT11000016,JT11000016-1,WO700017,AP9000016,5023,1003,CSP1,PCPLAST,N,N,,Y,N,1,2026-03-20T07:57:00,2026-03-20T08:35:00,38,180.72,Completed
JT11000017,JT11000017-1,WO700018,AP9000017,5051,1003,CSP1,PCPLUMB,Y,N,,N,N,1,2026-03-20T11:55:00,2026-03-20T13:55:00,120,98.44,No Access
