WorksOrderReference,ServiceRequestNo,PropertiesSK,ContractorSiteCode,JobPriorityCode,JobSORCode,JobType,NumberOfJobs,EstimatedCost,RepairNet,RepairVAT,RepairGross,InvoicedCost,InvoicedLabourCosts,InvoicedMaterialCosts,InvoicedSubcontractorCosts,InvoicedOverheadCosts,LabourHours,ServiceRequestReportedDatetime,WorksOrderRaisedDatetime,WorksOrderTargetDatetime,WorksOrderReportedCompleteDatetime,WorksOrderStatusCode,SLAStatus
WO700001,SR700001,5019,IHREPAIRS,U1,PCCARP,Responsive,1,171.40,179.97,35.99,215.96,176.37,97.00,61.73,0.00,17.64,2.86,2026-03-20T13:29:00,2026-03-20T13:29:00,2026-03-22T13:29:00,2026-03-21T09:29:00,Completed,Met
WO700002,SR700002,5068,IHREPAIRS,Q,PCBRICK,Responsive,1,292.64,307.27,61.45,368.72,301.12,165.62,105.39,0.00,30.11,4.88,2026-03-20T09:20:00,2026-03-20T09:20:00,2026-04-17T09:20:00,2026-04-06T21:20:00,Completed,Met
WO700003,SR700003,5099,KPIF,Q,PCGROUND,Responsive,1,360.68,378.71,75.74,454.45,371.14,204.13,129.90,0.00,37.11,6.01,2026-03-20T12:21:00,2026-03-20T12:21:00,2026-04-17T12:21:00,2026-04-10T17:21:00,Completed,Met
WO700004,SR700004,5052,KPIF,Q,PCVINYL,Responsive,1,186.98,196.33,39.27,235.60,192.40,105.82,67.34,0.00,19.24,3.12,2026-03-20T11:10:00,2026-03-20T11:10:00,2026-04-17T11:10:00,2026-04-03T12:10:00,Completed,Met
WO700005,SR700005,5061,KPIF,U1,PCCARP,Responsive,1,210.27,220.78,44.16,264.94,216.36,119.00,75.73,0.00,21.64,3.50,2026-03-20T12:11:00,2026-03-20T12:11:00,2026-03-22T12:11:00,2026-03-22T05:11:00,Completed,Met
WO700006,SR700006,5072,IHREPAIRS,Q,PCPLUMB,Responsive,1,201.06,211.11,42.22,253.33,206.89,113.79,72.41,0.00,20.69,3.35,2026-03-20T11:18:00,2026-03-20T11:18:00,2026-04-17T11:18:00,2026-04-03T11:18:00,Completed,Met
WO700007,SR700007,5097,CCSS,QEL,PCVINYL,Responsive,1,198.25,208.16,41.63,249.79,204.00,20.40,30.60,132.60,20.40,3.30,2026-03-20T10:57:00,2026-03-20T10:57:00,2026-04-03T10:57:00,2026-03-26T17:57:00,Completed,Met
WO700008,SR700008,5028,KPIF,Q,PCPLAST,Responsive,1,237.11,248.97,49.79,298.76,243.99,134.19,85.40,0.00,24.40,3.95,2026-03-20T09:25:00,2026-03-20T09:25:00,2026-04-17T09:25:00,2026-04-01T23:25:00,Completed,Met
WO700009,SR700009,5036,OPENVIEW,QEL,PCTILE,Responsive,1,132.95,139.60,27.92,167.52,136.81,13.68,20.52,88.93,13.68,2.22,2026-03-20T13:48:00,2026-03-20T13:48:00,2026-04-03T13:48:00,,Open,Open
WO700010,SR700010,5085,KPIF,E,PCBRICK,Responsive,1,294.65,309.38,61.88,371.26,303.19,166.75,106.12,0.00,30.32,4.91,2026-03-20T11:08:00,2026-03-20T11:08:00,2026-03-21T11:08:00,2026-03-21T05:08:00,Completed,Met
WO700011,SR700011,5019,CCSS,U1,PCVINYL,Responsive,1,246.54,258.87,51.77,310.64,253.69,25.37,38.05,164.90,25.37,4.11,2026-03-20T08:45:00,2026-03-20T08:45:00,2026-03-22T08:45:00,2026-03-21T22:45:00,Completed,Met
WO700012,SR700012,5059,KPIF,U1,PCFENCE,Responsive,1,215.66,226.44,45.29,271.73,221.91,122.05,77.67,0.00,22.19,3.59,2026-03-20T11:16:00,2026-03-20T11:16:00,2026-03-22T11:16:00,2026-03-21T17:16:00,Completed,Met
WO700013,SR700013,5007,IHREPAIRS,U1,PCPLAST,Responsive,1,219.10,230.06,46.01,276.07,225.46,124.00,78.91,0.00,22.55,3.65,2026-03-20T14:15:00,2026-03-20T14:15:00,2026-03-22T14:15:00,2026-03-22T03:15:00,Completed,Met
WO700014,SR700014,5078,KPIF,Q,PCELEC,Responsive,1,292.53,307.16,61.43,368.59,301.02,165.56,105.36,0.00,30.10,4.88,2026-03-20T12:52:00,2026-03-20T12:52:00,2026-04-17T12:52:00,2026-04-10T18:52:00,Completed,Met
WO700015,SR700015,5087,KPIF,Q,PCELEC,Responsive,1,298.71,313.65,62.73,376.38,307.38,169.06,107.58,0.00,30.74,4.98,2026-03-20T10:22:00,2026-03-20T10:22:00,2026-04-17T10:22:00,,Open,Open
WO700016,SR700016,5039,CCSS,QEL,PCTILE,Responsive,1,163.16,171.32,34.26,205.58,167.89,16.79,25.18,109.13,16.79,2.72,2026-03-20T10:58:00,2026-03-20T10:58:00,2026-04-03T10:58:00,2026-03-28T15:58:00,Completed,Met
WO700017,SR700017,5023,CCSS,Q,PCPLAST,Responsive,1,180.72,189.76,37.95,227.71,185.96,18.60,27.89,120.87,18.60,3.01,2026-03-20T12:46:00,2026-03-20T12:46:00,2026-04-17T12:46:00,2026-03-29T13:46:00,Completed,Met
WO700018,SR700018,5051,KPIF,Q,PCPLUMB,Responsive,1,196.89,206.73,41.35,248.08,202.60,111.43,70.91,0.00,20.26,3.28,2026-03-20T09:09:00,2026-03-20T09:09:00,2026-04-17T09:09:00,2026-04-10T22:09:00,Completed,Met
WO700019,SR700019,5091,KPIF,UEL,PCVINYL,Responsive,1,304.82,320.06,64.01,384.07,313.66,172.51,109.78,0.00,31.37,5.08,2026-03-20T11:16:00,2026-03-20T11:16:00,2026-03-21T11:16:00,2026-03-21T06:16:00,Completed,Met
WO700020,SR700020,5089,OPENVIEW,U1,PCFENCE,Responsive,1,300.05,315.05,63.01,378.06,308.75,30.88,46.31,200.69,30.87,5.00,2026-03-20T10:34:00,2026-03-20T10:34:00,2026-03-22T10:34:00,2026-03-21T05:34:00,Completed,Met
WO700021,SR700021,5040,CCSS,UEL,PCFENCE,Responsive,1,278.37,292.29,58.46,350.75,286.44,28.64,42.97,186.19,28.64,4.64,2026-03-20T09:09:00,2026-03-20T09:09:00,2026-03-21T09:09:00,2026-03-20T21:09:00,Completed,Met
WO700022,SR700022,5100,PHJONESGAS,Q,PCFENCE,Responsive,1,246.04,258.34,51.67,310.01,253.17,25.32,37.98,164.56,25.32,4.10,2026-03-20T14:00:00,2026-03-20T14:00:00,2026-04-17T14:00:00,2026-04-08T00:00:00,Completed,Met
WO700023,SR700023,5126,CCSS,Q,PCPLAST,Responsive,1,240.35,252.37,50.47,302.84,247.32,24.73,37.10,160.76,24.73,4.01,2026-03-20T14:05:00,2026-03-20T14:05:00,2026-04-17T14:05:00,2026-04-18T15:05:00,Completed,Breached
WO700024,SR700024,5160,BRADLEY,Q,PCELEC,Responsive,1,210.78,221.32,44.26,265.58,216.89,21.69,32.53,140.98,21.69,3.51,2026-03-20T13:59:00,2026-03-20T13:59:00,2026-04-17T13:59:00,2026-04-01T04:59:00,Completed,Met
WO700025,SR700025,5181,KPIF,U1,PCFENCE,Responsive,1,213.92,224.62,44.92,269.54,220.13,121.07,77.05,0.00,22.01,3.57,2026-03-20T12:16:00,2026-03-20T12:16:00,2026-03-22T12:16:00,2026-03-21T05:16:00,Completed,Met
WO700026,SR700026,5146,KPIF,U1,PCGROUND,Responsive,1,458.75,481.69,96.34,578.03,472.06,259.63,165.22,0.00,47.21,7.65,2026-03-20T08:49:00,2026-03-20T08:49:00,2026-03-22T08:49:00,2026-03-22T05:49:00,Completed,Met
WO700027,SR700027,5112,IHREPAIRS,Q,PCGROUND,Responsive,1,451.76,474.35,94.87,569.22,464.86,255.67,162.70,0.00,46.49,7.53,2026-03-20T08:51:00,2026-03-20T08:51:00,2026-04-17T08:51:00,2026-03-27T10:51:00,Completed,Met
WO700028,SR700028,5142,PHJONESGAS,Q,PCELEC,Responsive,1,320.69,336.72,67.34,404.06,329.99,33.00,49.50,214.49,33.00,5.34,2026-03-20T12:20:00,2026-03-20T12:20:00,2026-04-17T12:20:00,2026-04-15T20:20:00,Completed,Met
